timestamp,attention,meditation,poor_signal,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,blink,label,total_latency(ms),logic_time(ms)
22:21:34,56,88,0,484164,261810,106577,20322,1557,95675,1161,450606,0,F,0.1506999833509326,0.09250000584870577
22:21:35,75,90,0,569008,136338,5034,160878,2995,97342,2557,444377,0,F,0.1772999530658126,0.11659995652735233
22:21:36,90,90,0,146600,140983,4491,161825,2586,98855,968,448276,0,F,0.16449997201561928,0.10529998689889908
22:21:37,88,90,0,41371,49096,905,32445,752,25970,718,108061,0,F,0.15480001457035542,0.09779998799785972
22:21:38,91,97,0,1736787,489403,69060,594264,16147,353358,4730,1798944,0,F,0.15570002142339945,0.09849999332800508
22:21:39,81,88,0,480675,396647,142286,16907,3760,98126,1383,458793,0,F,2.3344000219367445,0.09919999865815043
22:21:40,78,78,0,1470539,1225892,160562,356347,8792,483587,5899,1820758,0,F,0.15469995560124516,0.09579997276887298
22:21:41,74,77,0,2158035,913631,434748,84882,14345,282703,2616,1813225,0,F,0.1841000048443675,0.11069996980950236
22:21:42,66,69,0,58082,70708,1575,38642,329,24340,375,110292,0,F,0.152299995534122,0.096399977337569
22:21:43,70,78,0,118097,46487,2243,42826,756,21643,474,106990,0,F,0.16600004164502025,0.10500004282221198
22:21:44,66,81,0,568062,296514,53194,85206,3863,85991,1075,434915,0,F,2.3117000237107277,0.10280002607032657
22:21:45,64,87,0,272169,198254,142393,32178,4361,65838,1715,428933,0,F,0.15739997616037726,0.0999000039882958
22:21:46,80,88,0,135249,129155,99619,35455,3777,132854,1482,433823,0,F,0.1669999910518527,0.10080001084133983
22:21:47,69,78,0,443053,572190,4454,205597,3457,96705,2969,429096,0,F,0.15199999324977398,0.09600003249943256
22:21:48,70,81,0,1200815,958342,590702,62063,14528,357660,8428,1734945,0,F,0.15109998639672995,0.09569997200742364
22:21:49,78,81,0,1669491,654884,418423,120696,10328,368838,11029,1678515,0,F,5.858700023964047,0.09540002793073654
22:22:16,66,80,0,1091454,509000,259605,86444,15372,163888,13122,1197174,0,F,2.498399990145117,0.10159995872527361
22:22:17,61,61,0,927374,1736474,176314,205481,4104,269065,3898,1173897,0,F,0.15470001380890608,0.09830005001276731
22:22:17,67,66,0,821036,137653,46118,12047,4690,66137,2163,288100,0,F,0.16729999333620071,0.10830000974237919
22:22:18,74,66,0,1388870,495154,175610,200011,11015,299727,5858,1201264,0,F,0.15590002294629812,0.09849999332800508
22:22:20,78,69,0,1729155,561898,514815,96186,15006,282205,2349,1257641,0,F,0.15739997616037726,0.09919999865815043
22:22:20,83,77,0,858368,639839,178276,46439,13697,157803,7917,1233052,0,F,0.17529999604448676,0.11449999874457717
22:22:21,64,75,0,233458,167683,35013,18743,5356,28244,1356,292595,0,F,0.1558999647386372,0.09739998495206237
22:22:22,54,67,0,845506,1307910,154736,285440,8050,303873,4483,1236302,0,F,0.1517999917268753,0.09519996820017695
22:22:23,43,66,0,1517874,718457,314409,156083,19674,147963,3933,1347984,0,F,0.15410000924021006,0.0955999712459743
22:22:24,50,67,0,1768703,668807,208026,142916,13770,293754,4091,1186353,0,F,0.15119998715817928,0.09360001422464848
22:22:25,54,70,0,1252976,1199671,422223,82876,12905,271479,3404,1273747,0,F,0.15360000543296337,0.09569997200742364
22:22:26,51,69,0,754665,253199,69059,10760,7680,49547,2176,296092,0,F,0.15409995103254914,0.09699998190626502
22:22:27,57,63,0,1455850,848803,295147,42227,17601,230555,8544,1152005,0,F,2.133200003299862,0.1289999927394092
22:22:28,48,67,0,1287925,488616,257891,72415,26730,116651,6127,1130621,0,F,0.16899994807317853,0.10409997776150703
22:22:29,38,69,0,1867320,1248948,462033,68853,21456,149684,3425,1210327,0,F,0.1647999742999673,0.10730000212788582
22:22:30,30,66,0,2130310,2474331,351881,139191,13801,282840,7350,1171115,0,F,0.15080004232004285,0.0934000127017498
22:22:31,29,61,0,178204,356252,74912,22293,3419,68537,1557,296632,0,F,0.15090004308149219,0.09350001346319914
22:22:32,30,53,0,1487119,1182546,295564,111248,19680,267031,3886,1178213,0,F,0.14840002404525876,0.09200000204145908
22:22:33,48,51,0,2385862,924314,308203,116436,7067,324745,5030,1205123,0,F,0.15170004917308688,0.0942000187933445
22:22:34,61,57,0,1869818,918911,370174,29533,30905,306803,2538,1207426,0,F,2.5565000250935555,0.09919999865815043
22:22:35,80,66,0,1313676,434577,162984,132786,5443,398791,6437,1097703,0,F,0.1735000405460596,0.11369999265298247
22:22:36,70,66,0,960041,881422,215347,87937,8779,130579,4692,1176521,0,F,0.15819998225197196,0.10080001084133983
22:22:37,87,70,0,1643560,371687,63359,280068,4029,390236,6304,1160770,0,F,0.15139998868107796,0.09460002183914185
22:22:38,75,74,0,174460,242269,98025,20217,2499,44513,1456,296743,0,F,0.14929997269064188,0.09180000051856041
22:22:39,44,74,0,188313,344212,129437,11726,2047,42285,1979,287786,0,F,0.16410002717748284,0.10559998918324709
22:22:40,53,67,0,24482,393938,64243,19498,6968,74489,1117,281754,0,F,0.1558999647386372,0.09819999104365706
22:22:41,34,61,0,1626854,690437,184611,53011,12901,148175,6064,1119709,0,F,0.15580002218484879,0.0974999857135117
22:22:42,30,56,0,1332433,1402250,312603,129362,12890,193916,3653,1179556,0,F,0.15789997996762395,0.09259994840249419
22:22:43,43,54,0,328858,683480,187041,105177,20594,187650,4167,1159451,0,F,0.1710999640636146,0.11219998123124242
22:22:44,37,70,0,492468,969723,669990,76589,5270,196070,2458,1218174,0,F,0.16299996059387922,0.10429997928440571
