timestamp,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command,command_encoded
2026-02-08 14:33:53.662844,27,40,482152,546274,4429,153489,1907,116528,3415,466138,f,0
2026-02-08 14:33:54.652912,40,58,622414,620822,9141,196190,2525,162749,4397,683664,f,0
2026-02-08 14:33:55.628970,36,53,220197,328283,7496,129859,1790,104730,3493,455407,f,0
2026-02-08 14:33:56.642989,36,56,191759,285136,7147,128882,1494,103155,3052,455383,f,0
2026-02-08 14:33:57.636575,35,55,363660,482678,9686,204306,2877,98697,2032,456247,f,0
2026-02-08 14:33:58.628839,38,53,579089,675160,10995,286539,4401,151606,2714,684504,f,0
2026-02-08 14:33:59.598300,38,48,920069,810390,10926,351481,4946,217759,4102,903774,f,0
2026-02-08 14:34:00.613506,38,48,926544,546364,10841,258437,5715,231323,3673,890478,f,0
2026-02-08 14:34:01.608034,43,48,776074,332836,9773,173648,4260,179619,2845,658695,f,0
2026-02-08 14:34:02.610644,48,49,798387,326197,12805,145756,3984,159395,1830,653193,f,0
2026-02-08 14:34:24.449934,36,25,497970,597131,47334,327973,6604,172090,3978,812201,f,0
2026-02-08 14:34:25.446044,52,38,411917,408823,15214,267669,5550,130519,2388,582028,f,0
2026-02-08 14:34:26.439788,50,44,311483,434903,19842,234433,6371,125020,2757,580812,f,0
2026-02-08 14:34:27.433340,36,53,165039,299334,13224,227559,4126,115532,3069,577508,f,0
2026-02-08 14:34:28.428647,31,65,162571,295191,12893,231916,3906,121758,3207,579195,f,0
2026-02-08 14:34:29.417350,29,74,130255,108458,8798,144188,1052,91054,2733,386342,f,0
2026-02-08 14:34:30.412370,38,72,240063,385330,5651,131745,1305,98115,2156,379529,f,0
2026-02-08 14:34:31.406167,38,62,361123,563788,8065,177128,1652,152267,2684,560292,f,0
2026-02-08 14:34:32.400837,41,46,394909,608554,9703,183691,1981,145486,2201,561811,f,0
2026-02-08 14:34:33.388867,40,36,180642,346050,6631,113552,1294,107841,1651,366368,f,0
2026-02-08 14:35:00.190558,21,16,292760,191162,8495,107773,1820,86303,2136,382360,f,0
2026-02-08 14:35:01.204220,30,24,379348,195587,65996,51352,3584,87299,1046,359428,f,0
2026-02-08 14:35:02.198114,25,22,431546,156107,65409,55853,3860,86136,1001,359229,f,0
2026-02-08 14:35:03.179430,24,21,435710,181268,64771,64141,3651,82076,938,361002,f,0
2026-02-08 14:35:04.187821,23,20,136774,50776,1108,54514,1162,31436,681,133081,f,0
2026-02-08 14:35:05.177123,23,20,85119,69727,698,60936,1252,33654,863,135457,f,0
2026-02-08 14:35:06.150529,28,29,72506,72383,1569,63374,1173,37201,971,135765,f,0
2026-02-08 14:35:07.144366,36,44,73495,92773,1565,78407,1236,51902,1177,178046,f,0
2026-02-08 14:35:08.158154,46,55,65121,91428,2013,66760,740,53837,1311,177364,f,0
2026-02-08 14:35:09.151893,54,56,74089,68283,1545,60191,757,49427,1316,174061,f,0
2026-02-08 14:35:30.011076,9,20,530752,218059,8434,175103,2631,141301,2424,439507,f,0
2026-02-08 14:35:31.003539,17,34,405831,203653,4728,99670,2312,80128,2042,246127,f,0
2026-02-08 14:35:31.998578,17,40,528555,307093,9965,183379,3457,115457,2875,377756,f,0
2026-02-08 14:35:32.993573,25,41,349381,284255,11088,132986,2714,71679,2016,252451,f,0
2026-02-08 14:35:33.985238,26,38,343029,258937,11499,134148,2229,73235,1963,253871,f,0
2026-02-08 14:35:34.979716,21,34,170327,305205,22861,76227,1778,80775,1990,244036,f,0
2026-02-08 14:35:35.951033,19,31,219171,631713,23407,144810,2496,108621,2993,368042,f,0
2026-02-08 14:35:36.966151,14,24,575628,905645,27416,224191,2603,145220,3591,499848,f,0
2026-02-08 14:35:37.937205,11,18,467535,740097,9464,205102,1701,100009,2517,380495,f,0
2026-02-08 14:35:38.954841,4,12,405076,414845,7438,138408,837,75443,1583,259869,f,0
2026-02-08 14:35:56.830364,20,9,110896,348410,5486,91963,1270,82777,2347,247746,f,0
2026-02-08 14:35:57.825302,26,13,241284,191323,3986,74221,2781,63540,2531,204481,f,0
2026-02-08 14:35:58.815465,21,17,397815,261584,16365,115954,4938,95962,2234,317864,f,0
2026-02-08 14:35:59.809182,22,18,702082,403653,23381,145853,5534,128134,3125,427876,f,0
2026-02-08 14:36:00.807455,29,22,867026,374516,36327,137743,6623,134425,3154,435576,f,0
2026-02-08 14:36:01.797776,38,24,713905,283455,24107,97632,4643,104051,3173,323507,f,0
2026-02-08 14:36:02.793917,42,26,537100,194247,26220,129418,5561,96494,3078,326052,f,0
